,DWMAEIA ID Equity
2020-09-03,0.08095003318009102
2020-09-04,0.08487432381887104
2020-09-09,0.08490575130197156
2020-09-10,0.08533034358803046
2020-09-11,0.08503609747562657
2020-09-15,0.08541262643172376
2020-09-16,0.08513893731295244
2020-09-17,0.08340416385825436
2020-09-18,0.08472069456687709
2020-09-22,0.08328530364232606
2020-09-23,0.08121841979256719
2020-09-24,0.08077807695184035
2020-09-25,0.07748443351238184
2020-09-29,0.07497875700029105
2020-09-30,0.074547360509251
2020-10-01,0.07457350356667393
2020-10-02,0.07519163403355822
2020-10-06,0.07507238685379124
2020-10-07,0.0753263115496352
2020-10-08,0.0730854210848544
2020-10-09,0.07320993076539219
2020-10-14,0.07858651217049688
2020-10-15,0.07859857235010691
2020-10-16,0.07690433889967947
2020-10-20,0.07648740803169517
2020-10-21,0.07773409227080227
2020-10-22,0.07792836917609682
2020-10-23,0.0776255034653458
2020-10-28,0.07627269213894597
2020-10-29,0.07432884668951016
2020-10-30,0.07407173696795062
2020-11-03,0.07441163494473943
2020-11-04,0.0816382103828196
2020-11-05,0.08201409005729368
2020-11-06,0.07723090288586376
2020-11-10,0.07937593270065922
2020-11-13,0.07882664215328816
2020-11-17,0.07771260678908219
2020-11-18,0.0782464603950443
2020-11-19,0.07724884955732586
2020-11-20,0.07743580781754117
2020-11-24,0.0784852972693257
2020-11-25,0.0782297494539882
2020-12-01,0.07586401876482397
2020-12-02,0.07623961838552813
2020-12-03,0.07635194623345996
2020-12-04,0.07616929064379323
2020-12-08,0.07619209488801644
2020-12-09,0.07589891048970276
2020-12-10,0.07574453963385622
2020-12-11,0.07611482898819731
2020-12-15,0.07562177433526522
2020-12-16,0.0751640759288771
2020-12-17,0.0745370136934061
2020-12-18,0.0741573232921978
2020-12-22,0.07361171889944552
2020-12-23,0.07358511111565762
2020-12-24,0.07361481759275114
2020-12-31,0.07307889801659696
2021-01-05,0.07536368918079424
2021-01-06,0.07268973627318508
2021-01-07,0.07424904629558012
2021-01-08,0.07631187616825909
2021-01-12,0.07677153103482058
2021-01-13,0.07850866683514166
2021-01-14,0.07950361637419669
2021-01-15,0.08041047484069178
2021-01-20,0.08061036942622368
2021-01-21,0.08101679909559106
2021-01-22,0.08176663938027652
2021-01-26,0.08088921136895506
2021-01-27,0.08363721858917149
2021-01-28,0.08423510966644386
2021-01-29,0.0912785578461492
2021-02-02,0.09412351055297624
2021-02-03,0.09319780029921797
2021-02-04,0.09394512589285096
2021-02-05,0.09535280126407286
2021-02-09,0.09408170552662029
2021-02-10,0.09297618323864479
2021-02-11,0.09324288803677516
2021-02-12,0.09167237984720389
2021-02-17,0.09210430383899926
2021-02-18,0.09122373539206481
2021-02-19,0.09121533459980928
2021-02-23,0.09030705070135792
2021-02-24,0.09180176156304855
2021-02-25,0.09353538280957814
2021-02-26,0.08593341393754068
2021-03-02,0.08624502717273265
2021-03-03,0.08444622537882947
2021-03-04,0.08601214083351283
2021-03-05,0.08622352507033597
2021-03-09,0.08881574960867106
2021-03-10,0.09487293261897736
2021-03-16,0.09482846434092966
2021-03-19,0.09524515881922259
2021-03-23,0.0945255685295254
2021-03-24,0.094375600175302
2021-03-25,0.09456061375452539
2021-03-26,0.09614389969888996
2021-03-30,0.09627730067111696
2021-03-31,0.09585786908105692
2021-04-01,0.09602214808525565
2021-04-07,0.09664951072976215
2021-04-08,0.09720033188567614
2021-04-09,0.09832351471402835
2021-04-13,0.09831461632753596
2021-04-14,0.09850181176494724
2021-04-15,0.09888046758076179
2021-04-16,0.09841861502567252
2021-04-20,0.10145195062431692
2021-04-21,0.10190428623263657
2021-04-22,0.10192097238241488
2021-04-23,0.10020596110172263
2021-04-27,0.10013231985226438
2021-04-28,0.09948381424249976
2021-04-29,0.09716064203285421
2021-04-30,0.0963167208343062
2021-05-05,0.09791162485970475
2021-05-06,0.09387493025263192
2021-05-07,0.09482153570057779
2021-05-11,0.09578639141735773
2021-05-12,0.09651243891655208
2021-05-18,0.09572587149688211
2021-05-19,0.09726216472107563
2021-05-20,0.09881031413902543
2021-05-21,0.09788093534700089
2021-05-26,0.09710528778744652
2021-05-27,0.09713428974061132
2021-05-28,0.09715194611377538
2021-06-02,0.09741458953943782
2021-06-03,0.09593466953983945
2021-06-04,0.09612976949981725
2021-06-09,0.09468915727881992
2021-06-10,0.09463158232090782
2021-06-11,0.0940615605492414
2021-06-15,0.09411065342845892
2021-06-16,0.09290693439464233
2021-06-17,0.08985708551715375
2021-06-18,0.093278682820489
2021-06-22,0.09471019349666558
2021-06-23,0.09468821209466352
2021-06-24,0.09354166029258025
2021-06-25,0.09346233590226342
2021-06-29,0.09086149039571974
2021-06-30,0.08801273060436525
2021-07-01,0.08195749950430618
2021-07-02,0.08201270813152561
2021-07-07,0.08111155552545608
2021-07-08,0.08802510127237706
2021-07-09,0.08886232661979444
2021-07-13,0.08856769499150575
2021-07-16,0.08943676347700592
2021-07-20,0.09080531230110007
2021-07-21,0.08626650032174327
2021-07-22,0.08738857175683444
2021-07-23,0.08804651930380034
2021-07-27,0.07985221472143214
2021-07-28,0.08177498919076001
2021-07-29,0.053971692150471866
2021-07-30,0.054617092937529824
2021-08-04,0.0548851415983642
2021-08-05,0.0562702977507835
2021-08-06,0.055046475044153685
2021-08-10,0.06350158277077235
2021-08-11,0.06392008108486355
2021-08-12,0.0617257377015908
2021-08-13,0.06036696371283048
2021-08-17,0.06113415634952985
2021-08-18,0.048337144096593614
2021-08-19,0.04459051560850355
2021-08-20,0.0677493682808335
2021-08-24,0.0744099439176934
2021-08-25,0.08210204003436798
2021-08-26,0.07998702936270671
2021-08-27,0.07858381377510386
2021-09-01,0.10060362861278131
2021-09-02,0.09969464283365512
2021-09-03,0.10412887718207078
2021-09-08,0.12352320005347835
2021-09-09,0.12128870333994067
2021-09-10,0.1295313666054339
2021-09-14,0.1401246581819448
2021-09-15,0.13561555611079187
2021-09-16,0.1361332544566386
2021-09-17,0.15210456784342358
2021-09-21,0.15146336521458745
2021-09-22,0.14024654458398417
2021-09-23,0.14281391015210484
2021-09-24,0.13960752945424929
2021-09-28,0.14533859893227924
2021-09-29,0.14983696580377454
2021-09-30,0.15128470553065193
2021-10-01,0.15746792756358408
2021-10-05,0.1688694416628313
2021-10-06,0.1710538280889588
2021-10-07,0.19143792598014023
2021-10-08,0.1920004456319882
2021-10-13,0.19067950371323633
2021-10-14,0.18988634724684683
2021-10-15,0.19314885500884077
2021-10-19,0.20503349962010436
2021-10-20,0.2170464310659074
2021-10-21,0.22639137591009317
2021-10-22,0.22591682684254605
2021-10-27,0.2547909615320054
2021-10-28,0.2522180729128873
2021-10-29,0.25483166561197035
2021-11-03,0.2883315115512799
2021-11-04,0.28039408060774945
2021-11-05,0.29441344280560894
2021-11-09,0.295305277123417
2021-11-10,0.29576115502293326
2021-11-16,0.297075028194828
2021-11-17,0.3012352409643449
2021-11-18,0.31822940466872396
2021-11-19,0.31391601794482976
2021-11-23,0.3199812863832287
2021-11-24,0.31994665023163676
2021-11-30,0.36886247958818424
2021-12-01,0.38228052220203146
2021-12-02,0.3977115849664125
2021-12-03,0.4019900674760735
2021-12-07,0.41801193483147825
2021-12-08,0.4120654397563564
2021-12-09,0.41340168395833926
2021-12-10,0.4133063644261485
2021-12-14,0.413832956121561
2021-12-15,0.4184366491994533
2021-12-16,0.40464132550530824
2021-12-17,0.41196788776165083
2021-12-21,0.4174992265957724
2021-12-22,0.4103803266309088
2021-12-23,0.4230913218688817
2021-12-31,0.42385282600534174
2022-01-05,0.42445700809392417
2022-01-06,0.40698977933078784
2022-01-07,0.409525375150325
2022-01-11,0.4142291549635312
2022-01-12,0.4092766086002898
2022-01-13,0.4073911659751211
2022-01-14,0.3893220700898302
2022-01-19,0.39124785041939136
2022-01-20,0.39683214151080376
2022-01-21,0.40553328505658154
2022-01-25,0.4041808791594627
2022-01-26,0.40822329175763744
2022-01-27,0.4158389009209694
2022-01-28,0.4074307639937126
2022-02-01,0.41757074909216
2022-02-02,0.4226284971863337
2022-02-03,0.38599362258294756
2022-02-04,0.37006173437869255
2022-02-08,0.37074931997296817
2022-02-09,0.36883450615718033
2022-02-10,0.3663932865873677
2022-02-11,0.3632019259508842
2022-02-15,0.3677404769259938
2022-02-16,0.3750559203413368
2022-02-17,0.3757631441628659
2022-02-18,0.3734763583321829
2022-02-23,0.3804040864066968
2022-02-24,0.37767690036517626
2022-02-25,0.38240209635686917
2022-03-01,0.3796682195286901
2022-03-02,0.3897728828309166
2022-03-03,0.3805912256771815
2022-03-04,0.37402560943196805
2022-03-08,0.32865880205146136
2022-03-09,0.3332796547043026
2022-03-10,0.321886964537159
2022-03-11,0.30257020465620527
2022-03-15,0.30263525390956497
2022-03-16,0.2912924656457791
2022-03-22,0.29370031295539684
2022-03-23,0.2944264222674837
2022-03-24,0.2966107315159379
2022-03-25,0.2978669455485622
2022-03-29,0.29855051327221155
2022-03-30,0.3091082947314786
2022-03-31,0.3136519834534677
2022-04-01,0.3020973332378189
2022-04-05,0.3058944878813437
2022-04-06,0.2733021025965395
2022-04-07,0.27007978518784226
2022-04-08,0.2670444887779977
2022-04-13,0.26203664203663996
2022-04-14,0.2635056498010984
2022-04-20,0.2644463565134541
2022-04-21,0.2625312254203449
2022-04-22,0.25142825537046914
2022-04-26,0.25230081464432974
2022-04-27,0.25115347004723354
2022-04-28,0.2509498452624656
2022-04-29,0.2516047667447296
2022-05-04,0.2534149228672609
2022-05-05,0.25318030056167506
2022-05-06,0.2389914073143705
2022-05-10,0.2403980711849589
2022-05-11,0.22803862205153752
2022-05-12,0.23099535091101922
2022-05-13,0.23587892801635657
2022-05-17,0.23622661007765902
2022-05-18,0.23334866849930985
2022-05-19,0.2406964007833195
2022-05-20,0.24185330796495508
2022-05-24,0.24986369540545325
2022-05-25,0.2451052339246035
2022-06-01,0.24324494939484204
2022-06-08,0.24242780548471513
2022-06-09,0.23472144041608117
2022-06-10,0.20633290648994904
2022-06-14,0.1993389365287945
2022-06-15,0.19227011287891055
2022-06-16,0.20616733966250486
2022-06-17,0.20623520403726875
2022-06-22,0.20184487088103792
2022-06-23,0.19596961991198045
2022-06-24,0.18652975790850787
2022-06-28,0.18528774574961795
2022-06-29,0.1840492804131185
2022-06-30,0.1878204123429342
2022-07-01,0.17554011258581217
2022-07-06,0.17185871073770345
2022-07-07,0.158787823149905
2022-07-08,0.1542792326462907
2022-07-12,0.1525987573323147
2022-07-13,0.15384205450090915
2022-07-19,0.1526633397223438
2022-07-20,0.15219962356548672
2022-07-21,0.15289749474353123
2022-07-22,0.14527310259074103
2022-07-26,0.14569426752186249
2022-07-27,0.14279709616300315
2022-07-28,0.13427930867158314
2022-07-29,0.13325517971776044
2022-08-03,0.1360548394296253
2022-08-04,0.1336136556761691
2022-08-05,0.12110904339541118
2022-08-09,0.11830695519003134
2022-08-10,0.1115325252193794
2022-08-11,0.10958846389911603
2022-08-12,0.10849680152786792
2022-08-17,0.09869417751883242
2022-08-18,0.09675309251002776
2022-08-19,0.08759836398018045
2022-08-23,0.08717461647221002
2022-08-24,0.0858231837385348
2022-08-25,0.08496809174680686
2022-08-26,0.08114525975670037
2022-08-31,0.07941978516798284
2022-09-01,0.07437648070438284
2022-09-02,0.06606754082408564
2022-09-07,0.06651048192831495
2022-09-08,0.06821295029501495
2022-09-09,0.06514303759353492
2022-09-13,0.05127935482399235
2022-09-14,0.05070511313624115
2022-09-15,0.049002343473606005
2022-09-16,0.048735742107777695
2022-09-21,0.04859845838298266
2022-09-22,0.03166080327920044
2022-09-23,0.017721776299639818
2022-09-27,0.016034413968320536
2022-09-28,0.011138925770568237
2022-09-29,0.011421760031068038
2022-09-30,0.011387074083305828
2022-10-04,0.001675306362426673
2022-10-05,-0.0006067343927696077
2022-10-06,0.0013911505804539651
2022-10-07,-0.008715091345112632
2022-10-12,-0.006960059947978247
2022-10-13,-0.009473031128944263
2022-10-14,-0.013675810412148536
2022-10-18,-0.015915598275686216
2022-10-19,-0.016104942361489898
2022-10-20,-0.019457559907760266
2022-10-21,-0.021789688675718778
2022-10-25,-0.026673831245613486
2022-10-26,-0.02763770665155572
2022-10-27,-0.028688699898404335
2022-10-28,-0.028354746642768235
2022-11-03,-0.03428176561045272
2022-11-04,-0.03281578643138072
2022-11-08,-0.03556618432570569
2022-11-09,-0.03475576299786693
2022-11-10,-0.06987084549852288
2022-11-15,-0.07063409519655965
2022-11-16,-0.07035021824151244
2022-11-17,-0.06984194697407001
2022-11-18,-0.06636299120252455
2022-11-22,-0.07395802423340161
2022-11-23,-0.07824100205043986
2022-11-29,-0.07780595459033643
2022-11-30,-0.0789142016460755
2022-12-01,-0.08707894360717783
2022-12-02,-0.08572853737884963
2022-12-06,-0.08446240392333083
2022-12-07,-0.08412406299491222
2022-12-08,-0.08638525975579495
2022-12-09,-0.0878894413383051
2022-12-13,-0.10501296888534442
2022-12-14,-0.10711996897581275
2022-12-15,-0.124465957312206
2022-12-16,-0.12671445245237142
2022-12-20,-0.131716979471029
2022-12-21,-0.12892362104791052
2022-12-22,-0.13368083790219012
2022-12-23,-0.13887537422678012
2022-12-30,-0.14063825232258367
2023-01-04,-0.1466136129451246
2023-01-05,-0.1476306608843396
2023-01-06,-0.15639669881794147
2023-01-10,-0.1587032421965622
2023-01-11,-0.16384645995882727
2023-01-12,-0.16342406670976875
2023-01-13,-0.16273161533292724
2023-01-18,-0.164333735485623
2023-01-19,-0.1642942471840279
2023-01-20,-0.163730378254434
2023-01-24,-0.1649559750055266
2023-01-25,-0.16429723899212156
2023-01-26,-0.17096002994173404
2023-01-27,-0.17064589362933877
2023-01-31,-0.1714781346334504
2023-02-01,-0.17094651570642544
2023-02-02,-0.19206106393182076
2023-02-03,-0.19612105763395216
2023-02-08,-0.19693583331071876
2023-02-09,-0.1958553811235139
2023-02-10,-0.19563818833508217
2023-02-14,-0.1984681452703292
2023-02-15,-0.19681091162277572
2023-02-16,-0.19713797789213544
2023-02-17,-0.19730293889631012
2023-02-22,-0.19739595445142147
2023-02-23,-0.19851939859055334
2023-02-24,-0.2014866770030408
2023-02-28,-0.20236536684759543
2023-03-01,-0.20415206830643579
2023-03-02,-0.2064513780086158
2023-03-03,-0.2041625191113296
2023-03-07,-0.2122979645359268
2023-03-08,-0.21417438070214845
2023-03-09,-0.21497955353969178
2023-03-10,-0.20859427428772853
2023-03-14,-0.21836880498982633
2023-03-15,-0.2350793469008758
2023-03-16,-0.25148347667098686
2023-03-21,-0.25284850677933135
2023-03-22,-0.25355229555284153
2023-03-23,-0.25715969141829215
2023-03-24,-0.2599367091242687
2023-03-28,-0.25929315869286823
2023-03-29,-0.2588303948269329
2023-03-30,-0.2588063668950479
2023-03-31,-0.2557918818822719
2023-04-04,-0.25502484806582915
2023-04-05,-0.2571918828759949
2023-04-06,-0.25710917649341275
2023-04-12,-0.2586614196064798
2023-04-13,-0.2570722122728931
2023-04-14,-0.2533855392795924
2023-04-18,-0.2539851633529648
2023-04-19,-0.25403914611550926
2023-04-20,-0.2555501049193226
2023-04-21,-0.25695892602547044
2023-04-25,-0.2580569567729459
2023-04-26,-0.2556463371183189
2023-04-27,-0.26226478499528866
2023-04-28,-0.2567429386683682
2023-05-03,-0.2807507852247778
2023-05-04,-0.28350980810165644
2023-05-05,-0.2955308443930269
2023-05-10,-0.29736027174632146
2023-05-11,-0.31968735697582196
2023-05-12,-0.3191678946356189
2023-05-16,-0.31952504491503314
2023-05-17,-0.32042948911129915
2023-05-23,-0.32216253046649107
2023-05-24,-0.31932787017430453
2023-05-25,-0.3144153677433528
2023-05-26,-0.31202106597257145
2023-05-31,-0.32075906377098734
2023-06-01,-0.313513786050799
2023-06-02,-0.3156719501092552
2023-06-07,-0.31489784523097974
2023-06-08,-0.3156834488521798
2023-06-09,-0.3137085554933824
2023-06-13,-0.3139492727962659
2023-06-14,-0.3155547344732437
2023-06-15,-0.31090270473012843
2023-06-16,-0.30894050718231714
2023-06-21,-0.3049822306649095
2023-06-22,-0.3058079497720225
2023-06-23,-0.31272129106701096
2023-06-27,-0.3284799934519472
2023-06-28,-0.3286049779692095
2023-06-29,-0.33821431291923115
2023-06-30,-0.34074968485735185
2023-07-06,-0.3313535317972186
2023-07-07,-0.33493985918300895
2023-07-11,-0.33486874051899707
2023-07-12,-0.3363940247233859
2023-07-13,-0.3350483281967672
2023-07-18,-0.3357988744275581
2023-07-19,-0.3402467250460908
2023-07-20,-0.3411023468125364
2023-07-21,-0.34064108690239403
2023-07-25,-0.3432668658492812
2023-07-26,-0.34191716013376383
2023-07-27,-0.33837181992124965
2023-07-28,-0.3389737268813929
2023-08-01,-0.33915719684556916
2023-08-02,-0.3321816405218293
2023-08-03,-0.3552294258805549
2023-08-04,-0.3485436971364733
2023-08-09,-0.35577441201432075
2023-08-10,-0.35071104485710075
2023-08-11,-0.3488680199923479
2023-08-17,-0.32921532384887814
2023-08-18,-0.33428466478449376
2023-08-22,-0.3303225268682806
2023-08-23,-0.3272799656008422
2023-08-24,-0.3307576153520337
2023-08-25,-0.3289316016416687
2023-08-30,-0.3335725379572276
2023-08-31,-0.334815344389463
2023-09-01,-0.3346665520590791
2023-09-06,-0.33602811960351836
2023-09-07,-0.33844888340801244
2023-09-08,-0.3421481441685674
2023-09-12,-0.3397758457842713
2023-09-13,-0.3368322389135389
2023-09-14,-0.3273594601757308
2023-09-15,-0.3263622838096441
2023-09-19,-0.32520271540487933
2023-09-20,-0.32779879106344134
2023-09-21,-0.3187180993049186
2023-09-22,-0.3203004605303691
2023-09-26,-0.31671204768426625
2023-09-27,-0.31604903781318167
2023-09-28,-0.3219243265174993
2023-09-29,-0.3223626913922858
2023-10-03,-0.3194541208393304
2023-10-04,-0.3178016143467424
2023-10-05,-0.31911835565576513
2023-10-06,-0.32502268546836477
2023-10-11,-0.3252872069249988
2023-10-12,-0.32024277565646275
2023-10-13,-0.318581012368669
2023-10-17,-0.3197673986738786
2023-10-18,-0.3217754443337769
2023-10-19,-0.33445787935312077
2023-10-20,-0.3227557211041258
2023-10-24,-0.3228298150656285
2023-10-25,-0.33436718999175286
2023-10-26,-0.3329189036627793
2023-10-27,-0.3461672830059211
2023-11-03,-0.35603666082646096
2023-11-07,-0.3601199303780302
2023-11-08,-0.3592921716787095
2023-11-09,-0.3568744895392531
2023-11-10,-0.35477346058990816
2023-11-14,-0.3592444425610322
2023-11-15,-0.35878594832814226
2023-11-16,-0.39759128050587333
2023-11-17,-0.39889566828832257
2023-11-21,-0.39590133038357006
2023-11-22,-0.38869052947607396
2023-11-28,-0.39770450320253903
2023-11-29,-0.3971433022611269
2023-11-30,-0.39787381965329816
2023-12-01,-0.40377437803561944
2023-12-05,-0.4066867134264607
2023-12-06,-0.4156670349742048
2023-12-07,-0.4234335490776308
2023-12-08,-0.42217679593801055
2023-12-12,-0.4200587824822681
2023-12-13,-0.42319429008234866
2023-12-14,-0.4260947565085325
2023-12-15,-0.42549883222636603
2023-12-19,-0.4223029738105232
2023-12-20,-0.4181864559782479
2023-12-21,-0.4197492500876512
2023-12-22,-0.4185215234891419
2023-12-29,-0.4174351578318815
2024-01-03,-0.4170818531086222
2024-01-04,-0.4248312355436532
2024-01-05,-0.42615310880286716
2024-01-09,-0.41946240087650455
2024-01-10,-0.42223181043872804
2024-01-11,-0.41709382045588866
2024-01-12,-0.4147148239338117
2024-01-17,-0.4180553693780632
2024-01-18,-0.4073317907566224
2024-01-19,-0.40304385112572555
2024-01-23,-0.39484934890143736
2024-01-24,-0.39571426286564493
2024-01-25,-0.40206825282759534
2024-01-26,-0.4018684836204453
2024-01-30,-0.4035181272015594
2024-01-31,-0.4019501915878017
2024-02-01,-0.3999401060477182
2024-02-02,-0.3776349757974124
2024-02-07,-0.37566491991532425
2024-02-08,-0.38024470784466335
2024-02-09,-0.37847876322404833
2024-02-13,-0.3786849221337519
2024-02-14,-0.38001649438435214
2024-02-15,-0.3749920772506592
2024-02-16,-0.3818138975582675
2024-02-21,-0.3882222658856909
2024-02-22,-0.3572383817460161
2024-02-23,-0.34540525024618757
2024-02-27,-0.3473739265188751
2024-02-28,-0.3415795410634572
2024-02-29,-0.35514965917877406
2024-03-01,-0.35747851852369117
2024-03-05,-0.35187486380078165
2024-03-06,-0.35048846301846986
2024-03-07,-0.3510844137560456
2024-03-08,-0.34988121748132106
2024-03-12,-0.3520837225626005
2024-03-13,-0.35147287490357126
2024-03-14,-0.35109470034122003
2024-03-15,-0.351110400393463
2024-03-20,-0.3493577955725184
2024-03-21,-0.33527329671426437
2024-03-22,-0.33884128321401136
2024-03-26,-0.3320661662661391
2024-03-27,-0.32960205741502163
2024-03-28,-0.32749980227177916
2024-04-03,-0.32818276660062123
2024-04-04,-0.31759071654563814
2024-04-05,-0.319198850836979
2024-04-09,-0.3158419909888005
2024-04-10,-0.31560952226628364
2024-04-11,-0.2549189697892459
2024-04-12,-0.2567874490892097
2024-04-16,-0.24165910988557537
2024-04-17,-0.23804432403074033
2024-04-18,-0.23861041580739653
2024-04-19,-0.22585877109126662
2024-04-23,-0.22170239204100786
2024-04-24,-0.22106978996738993
2024-04-25,-0.21539641191045897
2024-04-26,-0.18050339766117776
2024-04-30,-0.18715248949257454
2024-05-03,-0.20325884971359423
2024-05-14,-0.20356874926591798
2024-05-15,-0.2108281648451149
2024-05-16,-0.20814829628313855
2024-05-17,-0.20688700141912747
2024-05-22,-0.20855606895951762
2024-05-23,-0.17667517203130298
2024-05-24,-0.1676557115661343
2024-05-29,-0.16196977601107712
2024-05-30,-0.16147977212228615
2024-05-31,-0.15258127751422504
2024-06-05,-0.14956241252167998
2024-06-06,-0.14714280573409502
2024-06-07,-0.1364852571135622
2024-06-11,-0.13103440725865476
2024-06-12,-0.10942667507543041
2024-06-13,-0.09962164959066076
2024-06-14,-0.08742543352119488
2024-06-18,-0.0831358664980793
2024-06-21,-0.0847692187092195
2024-06-25,-0.08108800652228854
2024-06-26,-0.08243337929548071
2024-06-27,-0.08382687211197246
2024-06-28,-0.08053476064238829
2024-07-02,-0.08079588746256684
2024-07-03,-0.07924451115134974
2024-07-09,-0.08019112232923593
2024-07-10,-0.07098923851791288
2024-07-11,-0.07020194563034067
2024-07-12,0.00788542526244668
2024-07-16,0.0194430846342781
2024-07-17,0.023497434752985415
2024-07-18,0.032750694011690666
