,AEABSIA ID Equity
2019-01-03,
2019-01-04,
2019-01-08,
2019-01-09,
2019-01-10,
2019-01-11,
2019-01-15,
2019-01-16,
2019-01-17,
2019-01-18,
2019-01-22,
2019-01-23,
2019-01-24,
2019-01-25,
2019-01-29,
2019-01-30,
2019-01-31,
2019-02-01,
2019-02-05,
2019-02-06,
2019-02-07,
2019-02-08,
2019-02-12,
2019-02-13,
2019-02-14,
2019-02-15,
2019-02-19,
2019-02-20,
2019-02-21,
2019-02-22,
2019-02-26,
2019-02-27,
2019-02-28,
2019-03-01,
2019-03-05,
2019-03-06,
2019-03-07,
2019-03-08,
2019-03-12,
2019-03-13,
2019-03-14,
2019-03-15,
2019-03-19,
2019-03-20,
2019-03-21,
2019-03-22,
2019-03-26,
2019-03-27,
2019-03-28,
2019-03-29,
2019-04-02,
2019-04-03,
2019-04-04,
2019-04-05,
2019-04-09,
2019-04-10,
2019-04-11,
2019-04-12,
2019-04-16,
2019-04-17,
2019-04-18,
2019-04-24,
2019-04-25,
2019-04-26,
2019-04-30,
2019-05-03,
2019-05-07,
2019-05-08,
2019-05-09,
2019-05-10,
2019-05-14,
2019-05-15,
2019-05-16,
2019-05-17,
2019-05-21,
2019-05-22,
2019-05-23,
2019-05-24,
2019-05-28,
2019-05-29,
2019-05-30,
2019-05-31,
2019-06-04,
2019-06-05,
2019-06-06,
2019-06-07,
2019-06-11,
2019-06-12,
2019-06-13,
2019-06-14,
2019-06-18,
2019-06-19,
2019-06-20,
2019-06-21,
2019-06-25,
2019-06-26,
2019-06-27,
2019-06-28,
2019-07-02,
2019-07-03,
2019-07-04,
2019-07-05,
2019-07-09,
2019-07-10,
2019-07-11,
2019-07-12,
2019-07-16,
2019-07-17,
2019-07-18,
2019-07-19,
2019-07-23,
2019-07-24,
2019-07-25,
2019-07-26,
2019-07-30,
2019-07-31,
2019-08-01,
2019-08-02,
2019-08-06,
2019-08-07,
2019-08-08,
2019-08-09,
2019-08-13,
2019-08-14,
2019-08-15,
2019-08-16,
2019-08-20,
2019-08-21,
2019-08-22,
2019-08-23,
2019-08-27,
2019-08-28,
2019-08-29,
2019-08-30,
2019-09-03,
2019-09-04,
2019-09-05,
2019-09-06,
