,PDAIEUR LX Equity,EXCRISA LX Equity,REYLSEB LX Equity
2022-06-01,-0.03471002184853693,0.20415195557495194,0.03578435515550545
2022-06-02,-0.035416408577096783,0.20415453415500254,0.035807069251625516
2022-06-03,-0.036164204463100334,0.20448731226147202,0.03636061840107898
2022-06-07,,0.2046627807184492,
2022-06-08,-0.03723447564214665,0.20393070936732968,0.04125081001732411
2022-06-09,-0.0368676709163187,0.19959222131112284,0.044559053224278805
2022-06-10,-0.03801478619473848,0.1911586139671584,0.046388162294201535
2022-06-14,-0.03900807074554776,0.1890099688678195,0.04104670805713443
2022-06-15,-0.040677018737493166,0.18628193174504887,0.021009531312090015
2022-06-16,-0.03912735022756862,0.19551239289268627,0.022640719075104076
2022-06-17,-0.03977406057567405,0.19433413024292087,0.016827041852113853
2022-06-21,-0.039876410528507975,0.1954071659654759,0.01760970676654354
2022-06-22,-0.04064670717881922,0.19539657957437787,0.017326272580309516
2022-06-23,,0.19346539747348843,
2022-06-24,,0.18498616151392228,
2022-06-28,-0.041080930671362634,0.1854586994671127,0.01596105444472985
2022-06-29,-0.04079877652254969,0.18346468082594153,0.020611302957872668
2022-06-30,-0.04331541663764578,0.18578006069238118,0.020122688989692997
2022-07-01,-0.04570509249920053,0.18299553956652553,0.007339647706050201
2022-07-05,-0.04212670552829499,0.18713397822368777,0.01401643287979945
2022-07-06,-0.040646731053389354,0.18895011215334628,0.009310579604629448
2022-07-07,-0.04473763257797438,0.19021827281194142,0.012125367970767
2022-07-08,-0.04454935294737979,0.19116469960117924,0.011445101333566837
2022-07-12,-0.046234729076560975,0.1904802127497058,0.010241694444188822
2022-07-13,-0.04523769597345957,0.18861421934956385,0.008970151227361665
2022-07-14,-0.04737948465678356,0.18383463672017378,0.010068963967334938
2022-07-15,-0.051974267796754556,0.18311940293632403,0.022595190348706856
2022-07-19,-0.052575795767756554,0.18641611095899785,0.020048406107032013
2022-07-20,-0.05253481847636058,0.18625439787461764,0.021005583701370182
2022-07-21,-0.05272029747428099,0.18583215990503674,0.022918981375075836
2022-07-22,-0.05350005394420123,0.18141591658309497,0.020716801595045173
2022-07-26,-0.054520976709106564,0.18176548568544984,0.018453504738120192
2022-07-27,-0.05470863281882591,0.18255944151767173,0.016613510420438383
2022-07-28,-0.057965399148244404,0.17947467495996777,0.015502048609475494
2022-07-29,-0.059869028424661914,0.18075340560581732,0.013008785037490582
2022-08-02,-0.05919791689589602,0.18027831329250082,0.014017291970870838
2022-08-03,-0.05959640670346299,0.17998598853849804,0.013326267056395275
2022-08-04,-0.06052785739606861,0.17979119846846722,0.012612712416406349
2022-08-05,-0.0556167672841325,0.17757086610217396,0.015271400330649002
2022-08-09,-0.056595781891021234,0.17913230595774843,0.009694049810819916
2022-08-10,-0.059244226022304176,0.1788648014088417,0.003809428422717705
2022-08-11,-0.059338042497985466,0.17893958514929653,0.006353459006966868
2022-08-12,-0.05944306331797219,0.1790819093362482,0.001991494469018135
2022-08-16,,0.1786718277709473,
2022-08-17,-0.05897242795164509,0.1785595463241911,-0.003729459581911079
2022-08-18,-0.05876410754500935,0.17770797928196616,-0.0024671367213361527
2022-08-19,-0.061546252284168816,0.1773673803398587,-0.009955852310069143
2022-08-23,-0.06265950692160843,0.17677339294192057,-0.0094281887984251
2022-08-24,-0.06274541734046184,0.17685643027097722,-0.009655974013200884
2022-08-25,-0.062044283719723446,0.17659867953807173,-0.007993891349665466
2022-08-26,-0.06298194224757783,0.17694915794306876,-0.008249047508339354
2022-08-30,-0.06224318001695298,0.17354895524829078,-0.005586805129027933
2022-08-31,-0.06173235653734438,0.17161052284021527,-0.003960195718750289
2022-09-01,-0.06284083254645331,0.17027885309640406,-0.009510540234063473
2022-09-02,-0.06184202850183191,0.17083326531066906,-0.017462063497065593
2022-09-06,-0.06199419782465015,0.1706769521695056,-0.019731550833748553
2022-09-07,-0.06204724701590458,0.1692432185700243,-0.019440186059934816
2022-09-08,-0.06219081012218608,0.16928910045553025,-0.019014264884913402
2022-09-09,-0.061544186183478726,0.16961010309173233,-0.024025082352578095
2022-09-13,-0.06095704947321648,0.16435320333313286,-0.03137150922375634
2022-09-14,-0.06030025288426174,0.16449511577997042,-0.032029535081819493
2022-09-15,-0.060893000200226914,0.16449941482162606,-0.028768721016018874
2022-09-16,-0.060011868007274545,0.16549866265361146,-0.023642201476997065
2022-09-20,-0.06169118667496374,0.1615058256996911,-0.022657252942058753
2022-09-21,-0.06082511001829149,0.1601449775676399,-0.017099253974147157
2022-09-22,-0.060853406741069656,0.15665295803814575,-0.017747058146043194
2022-09-23,-0.06189768215416685,0.1572410316591985,-0.01955604010377657
2022-09-27,-0.061598651303574996,0.15593462554257245,-0.019220071684815782
2022-09-28,-0.062007504142318766,0.15556169502508263,-0.023591864437652207
2022-09-29,-0.06104220060106814,0.15554227821721767,-0.01884997567673555
2022-09-30,-0.059404165329134416,0.15334153658567218,-0.010901991183222558
2022-10-04,-0.0596376205301716,0.1494403289852519,-0.02755551605388954
2022-10-05,-0.06116881171751889,0.14822888971512413,-0.031090970292351375
2022-10-06,-0.06061226756389276,0.14851556358691023,-0.030612681131093996
2022-10-07,-0.06072283760403085,0.1470958647619426,-0.036341289552660194
2022-10-11,-0.060414697362695134,0.1473571540933909,-0.03692564799527119
2022-10-12,-0.06045560958012123,0.14693315322589892,-0.038678865084769955
2022-10-13,-0.06131668970118631,0.1476899670875872,-0.03949144680168965
2022-10-14,-0.06025511731388037,0.1476042771078561,-0.03965957652090888
2022-10-18,-0.06060937593794447,0.1478172026662699,-0.04018763607450493
2022-10-19,-0.05875055419609752,0.14729445123590473,-0.03963631175664961
2022-10-20,-0.05877027654921943,0.14695399799152753,-0.04090349053562445
2022-10-21,-0.058950968578713354,0.14680227745314442,-0.04154208943299257
2022-10-25,-0.05989764601933466,0.1472470858487104,-0.0439328943374583
2022-10-26,-0.06062053847597973,0.1462713595521152,-0.047215531691519264
2022-10-27,-0.0609498865930462,0.1457520664672755,-0.047410931516056624
2022-10-28,-0.06172426366248095,0.1461215280519674,-0.04625702656141068
2022-11-01,,0.14667079525916912,
2022-11-02,,0.1468968613160241,
2022-11-03,-0.06182574517357331,0.14461824167461293,-0.04591173825801081
2022-11-04,-0.0604769324417916,0.1449038747523589,-0.05317515341367092
2022-11-08,-0.06104964613533647,0.14413633911641238,-0.056431850903259424
2022-11-09,-0.06175023235527249,0.14396751762173193,-0.05643189849116676
2022-11-10,-0.06029037711160588,0.13586936315857692,-0.08460269412128393
2022-11-11,-0.06012415945674254,0.13639619328794492,-0.08444855974008945
2022-11-15,-0.05931234944076523,0.13661594903294527,-0.08016626485723055
2022-11-16,-0.05923951490681422,0.1359503782777343,-0.08319844592245484
2022-11-17,-0.0589699327811184,0.13628620437259995,-0.0841780293903312
2022-11-18,-0.05763271750279033,0.13569681243807866,-0.08250061022350762
2022-11-22,-0.057671880621861356,0.13522027074409063,-0.0808820795138087
2022-11-23,-0.057467821710185406,0.13467704965414468,-0.08198839776402839
2022-11-24,-0.05672908076103621,0.1338131528467558,-0.0883141884281371
2022-11-25,-0.05692765914002012,0.1330260133061778,-0.08906910180863073
2022-11-29,-0.056869625031854304,0.13318983459992673,-0.08876074658171312
2022-11-30,-0.05594213433671928,0.13307848070685838,-0.08819875765497837
2022-12-01,-0.051835682964169814,0.1324563041490262,-0.08668978699756724
2022-12-02,-0.05164925034921368,0.1332401199437625,-0.08728220839970303
2022-12-06,-0.05160668336559998,0.13334216078552494,-0.08873412517467055
2022-12-07,-0.051238847200734634,0.13395955790274652,-0.08987512310194498
2022-12-08,-0.051426853824282796,0.13588738722274482,-0.08951474692574136
2022-12-09,-0.051642309142306636,0.13519935361442484,-0.08917631157775877
2022-12-13,-0.04913901417067622,0.13535816511203064,-0.0923522242174073
2022-12-14,-0.048906892715606866,0.13555745268558822,-0.09317793938887113
2022-12-15,-0.03849301690775016,0.1324594026078625,-0.0955302009875265
2022-12-16,-0.040569550338914656,0.1318400286349767,-0.0973744260864193
2022-12-20,-0.04193526697780705,0.13110190626832452,-0.0981433689531667
2022-12-21,-0.03909389323472593,0.13145368341391106,-0.09546791617886348
2022-12-22,-0.03889668333199946,0.13112012486734317,-0.09662330537358897
2022-12-23,-0.038827393159087786,0.13031806304251817,-0.09787107350693595
2022-12-28,-0.039008947110746754,0.12931258474626298,-0.09735736198322797
2022-12-29,-0.040859946924434114,0.1290770072420059,-0.09905221136357317
2022-12-30,-0.04235857941358136,0.12870709840618388,-0.09897717727150215
2023-01-03,-0.04104508213256033,0.12819044536105673,-0.10493557695216761
2023-01-04,-0.039214278049447174,0.12762243033448822,-0.11535808616940821
2023-01-05,-0.039193085265366724,0.1273461799884331,-0.11390610328303366
2023-01-06,-0.03780830741092094,0.12623471898407063,-0.11434572048929696
2023-01-10,-0.037477829515470275,0.12715622647341138,-0.11528403626971126
2023-01-11,-0.03621113992283702,0.12744798949679134,-0.1186735092369971
2023-01-12,-0.03568936653788493,0.12754212410884036,-0.12171849922415354
2023-01-13,-0.03455521896514905,0.12735002074274898,-0.1227098075616896
2023-01-17,-0.03591651906942663,0.12703239893942167,-0.12059934470153082
2023-01-18,-0.0348372800954837,0.12693210913189973,-0.11960842612471796
2023-01-19,-0.03363171607296752,0.1254052271901574,-0.13038626469830603
2023-01-20,-0.0339349961971413,0.12513672658774758,-0.13084541517868484
2023-01-24,-0.03382131779210471,0.12560295372366514,-0.1311634458848657
2023-01-25,-0.033729896470388744,0.12606619078713285,-0.1313989906277885
2023-01-26,-0.03313505517076469,0.12642049026959634,-0.1315735132430751
2023-01-27,-0.03299640105900637,0.12629589885295825,-0.1317011969340588
2023-01-31,-0.03287773879101723,0.12622628680352072,-0.13239403261717705
2023-02-01,-0.032876087456280734,0.12626998427323038,-0.13276585411997843
2023-02-02,-0.030859071622240348,0.12212000031001918,-0.1465310072570392
2023-02-03,-0.030604954693302606,0.12176253747927462,-0.14674033544514287
2023-02-07,-0.030584267317314652,0.12172855266277957,-0.1470534981205398
2023-02-08,-0.030573552720900815,0.12148657335468466,-0.14821548525669004
2023-02-09,-0.029053450190048638,0.12012328963657434,-0.1458734771848287
2023-02-10,-0.02860605882411632,0.11667127758976881,-0.14665422958976002
2023-02-14,-0.02980878782547577,0.11642831714103861,-0.14711405065733762
2023-02-15,-0.02966413396687564,0.11650484594219347,-0.14682665761178756
2023-02-16,-0.0294995554331383,0.11794334885320779,-0.14768956645963777
2023-02-17,-0.02950048808328728,0.1174433455522,-0.14860691195675768
2023-02-21,-0.029821695395594577,0.11700131540129245,-0.14960565350781174
2023-02-22,-0.029803349250998444,0.11568238476027022,-0.1497711117006449
2023-02-23,-0.02973081899864934,0.11552817436872893,-0.14989063935385277
2023-02-24,-0.029422073278506142,0.11438008124079935,-0.1512088964226203
2023-02-28,-0.029121208416319638,0.11463360114077586,-0.15729196134585632
2023-03-01,-0.03160047931495996,0.11493244794312871,-0.15880189612959963
2023-03-02,-0.03186177174689738,0.11419468349659703,-0.15834433909816614
2023-03-03,-0.03168243108879651,0.11356284009639978,-0.1589643617646747
2023-03-07,-0.03200560968998788,0.11333417828395978,-0.1572784257252634
2023-03-08,-0.0309562114726651,0.11607857727056356,-0.15715736288162258
2023-03-09,-0.03213160807922945,0.11604931134129737,-0.15789333504740857
2023-03-10,-0.03357250162087117,0.11456188430669861,-0.15776300829132328
2023-03-14,-0.03244471127188947,0.11287955417752,-0.16142311555047867
2023-03-15,-0.03213138157942064,0.11370560218642879,-0.16032766962614442
2023-03-16,-0.03206345771235519,0.11331708185541513,-0.16114572690774226
2023-03-17,-0.03264181136456331,0.11346112196875119,-0.1613678384627953
2023-03-21,-0.03232547857579764,0.1123497579099342,-0.15800369492709052
2023-03-22,-0.03223313341641687,0.11229047877188979,-0.1588199574278119
2023-03-23,-0.032099616735873464,0.1119779286050937,-0.15765791579662444
2023-03-24,-0.03228124544357592,0.11264433077190272,-0.1564861503811104
2023-03-28,-0.03337356971508416,0.11292547412233535,-0.1541542393045433
2023-03-29,-0.030257340925216977,0.11485713651827976,-0.15797591817678158
2023-03-30,-0.031236326323561225,0.11510357733350692,-0.15849424099932027
2023-03-31,-0.030566462587467508,0.11180153940094757,-0.16318872510797236
2023-04-04,-0.031018099848594383,0.11203528510825012,-0.16457403094706904
2023-04-05,-0.03035966014808793,0.11125092004387385,-0.16534073039596653
2023-04-06,-0.03063925290475102,0.1124193112391732,-0.1649928152753808
2023-04-12,-0.030680248131195433,0.1120060073878669,-0.16491192620536826
2023-04-13,-0.03066724464386624,0.11239049259919884,-0.1632633192344307
2023-04-14,-0.030301665293444344,0.11247681538863316,-0.16302268206078038
2023-04-18,-0.030945128930122582,0.11125475720726101,-0.1651235398484643
2023-04-19,-0.03062714667654658,0.11035156728105756,-0.16448158732232582
2023-04-20,-0.030727661171428593,0.10650906321429185,-0.1663559889566329
2023-04-21,-0.03111015873438093,0.10630348309815721,-0.16828312826230488
2023-04-25,-0.031162143269666383,0.1053227550208786,-0.16837460369880317
2023-04-26,-0.03160309651166039,0.10272416551688932,-0.16926185026212917
2023-04-27,-0.03200281779793367,0.10279893202769823,-0.17118353523086818
2023-04-28,-0.0318191133400882,0.10632913764394841,-0.1732774247852541
2023-05-03,-0.03201476905567879,0.10542066109721657,-0.17244484403666444
2023-05-04,-0.03243634662276589,0.10537804329148115,-0.1746836320699871
2023-05-05,-0.03221425314323979,0.10567159025811534,-0.17382451257879425
2023-05-09,,0.10623513308231375,
2023-05-10,,0.10667396669485588,
2023-05-11,-0.033534206458420715,0.10696386308073876,-0.17302189290354833
2023-05-12,-0.03449134031339534,0.10710168470976521,-0.1731249924809557
2023-05-16,-0.03591622313776978,0.10640795225679563,-0.17153452937110375
2023-05-17,-0.03549506532787977,0.10538967355555996,-0.17335302892979926
2023-05-18,,0.10569348516258938,
2023-05-19,,0.10410411559823701,
2023-05-23,-0.03463287050569033,0.09490881131862625,-0.17347027463245945
2023-05-24,-0.037267978688278046,0.08481789046630113,-0.1771209283129528
2023-05-25,-0.03893591642168425,0.07613098252259859,-0.1830713115038904
2023-05-26,-0.03850654545370045,0.0749278505324427,-0.1820295284441485
2023-05-30,,0.07408027626603485,
2023-05-31,-0.039512313373469214,0.07064636423804273,-0.1900146083159626
2023-06-01,-0.03869234139982442,0.07360814786791652,-0.19032568560393867
2023-06-02,-0.03922121970657274,0.07334644901385458,-0.18939054688039017
2023-06-06,-0.03790809692655301,0.06808100325411474,-0.19112421057090823
2023-06-07,-0.03759004406504136,0.06867502856632365,-0.19189525855939593
2023-06-08,-0.03784054448065891,0.06908739804747735,-0.19011357808918927
2023-06-09,-0.037272807500933064,0.058774662948326305,-0.18974572952289587
2023-06-13,-0.03750984102888962,0.05821179719303263,-0.1885824091055837
2023-06-14,-0.03720191125870063,0.057755841135703,-0.18842174068737
2023-06-15,-0.045256048015803504,0.05774133302408618,-0.1953398034378795
2023-06-16,-0.03961536414113842,0.059552127331741436,-0.19954203492167566
2023-06-20,-0.04039425066851789,0.059374478077186175,-0.194214154757998
2023-06-21,-0.040452978867555354,0.058951475224002514,-0.19461060134129163
2023-06-22,-0.04082781282451766,0.053448778921596975,-0.18953608030355396
2023-06-23,,0.05139476324637489,
2023-06-27,-0.040223771046013636,0.050975026892834785,-0.18759674979906765
2023-06-28,-0.0400340997324733,0.052017120413799314,-0.1908826537960919
2023-06-29,-0.039582696821027025,0.051197264436836296,-0.20570086832741802
2023-06-30,-0.036388981554279484,0.048616682330883995,-0.2059230576468663
2023-07-04,-0.036788293529603375,0.047171396034188524,-0.2065424865651828
2023-07-05,-0.03661826241556382,0.04822637152251439,-0.2084951858949959
2023-07-06,-0.02922621903751464,0.050848822729548826,-0.2189402615310513
2023-07-07,-0.029710528564184113,0.050954027726508144,-0.22325377291523232
2023-07-11,-0.029465843909190305,0.0520487979578441,-0.22347409723458705
2023-07-12,-0.030322956902939565,0.053158692081223924,-0.22433901708997112
2023-07-13,-0.027975810913175077,0.05416487639097491,-0.22478428615404386
2023-07-14,-0.028172496236425613,0.054850927952789036,-0.2253305526710249
2023-07-18,-0.027758313729822476,0.05567894659198157,-0.22683759926745056
2023-07-19,-0.02261700238890169,0.05587072873979237,-0.2187413222971779
2023-07-20,-0.022182271192942356,0.055321270045197025,-0.21402146354581278
2023-07-21,-0.022252118187914734,0.05489220676623643,-0.21422261484076174
2023-07-25,-0.022132221867696488,0.05481015555774575,-0.21539273138855133
2023-07-26,-0.021516286726380476,0.053547105829158004,-0.21255011508717978
2023-07-27,-0.01901198745636453,0.04944120903726521,-0.2146079925545707
2023-07-28,-0.019096746300319732,0.05487231490141192,-0.21447497122058023
2023-08-01,-0.020148649700225257,0.05844024791672271,-0.2170626642558534
2023-08-02,-0.01997079288095663,0.05973525047911223,-0.21924191962743014
2023-08-03,-0.01990920888493,0.059659094012827305,-0.21807584118285345
2023-08-04,-0.019749786143775736,0.05668746281822826,-0.21786424422253467
2023-08-08,-0.0207847145348791,0.05454585470846659,-0.22040065409591938
2023-08-09,-0.021291861687599684,0.055776111277094385,-0.22050339529725493
2023-08-10,-0.017325757211669113,0.057359434894602754,-0.23023127787418932
2023-08-11,-0.015852794629444708,0.05778223569909867,-0.2296161503551636
2023-08-15,,0.05794304189543407,
2023-08-16,,0.05836571708765108,
2023-08-17,-0.016071707495357197,0.05563322598311434,-0.2332419275944668
2023-08-18,-0.016046739233448407,0.055173913634363136,-0.23355716767622123
2023-08-22,-0.015186058994911118,0.051504378859861755,-0.23486828878328542
2023-08-23,-0.013911897146818869,0.05271592490039366,-0.23547206553300043
2023-08-24,-0.015590454134805273,0.052257595967703116,-0.2367052912842885
2023-08-25,-0.014786756944199736,0.052119455351212034,-0.23699790298901288
2023-08-29,-0.011818399191008664,0.05167356850209491,-0.2406311376040887
2023-08-30,-0.013519678754690886,0.053360534800674424,-0.2472487242491737
2023-08-31,-0.013273189122847313,0.053938668390072934,-0.24717553177287013
2023-09-01,-0.011049135805131338,0.05479554871741729,-0.24802114190969005
2023-09-05,-0.01002492585701794,0.055372702501175375,-0.24923382062416066
2023-09-06,-0.008239882464684411,0.05573253993899372,-0.2527678809614625
2023-09-07,-0.008475112978746048,0.044466965558877664,-0.2560015662950519
2023-09-08,-0.008632010757216762,0.045484964921183126,-0.25555490327129937
2023-09-12,-0.00829239089089043,0.044519473121099135,-0.25389521039150326
2023-09-13,-0.008608147463729626,0.044666636079347385,-0.2541571624075408
2023-09-14,-0.005531579682869403,0.04857667617878667,-0.25567171094426033
2023-09-15,-0.006432554644429283,0.052349030816151935,-0.2540930019638718
2023-09-19,-0.006500992978995331,0.05221774888032002,-0.25467948492243914
2023-09-20,-0.008733516177123916,0.05553914698453104,-0.2541814653217232
2023-09-21,-0.008140246043979713,0.05413430657502355,-0.26186185254580974
2023-09-22,-0.009332891392013569,0.0562864701805044,-0.268042266135398
2023-09-26,-0.007502522093550581,0.05214366745881797,-0.2814640236616711
2023-09-27,-0.004422862240846279,0.049097358173482854,-0.2804670814034022
2023-09-28,-0.003306330949195584,0.04612833151489501,-0.27280408607754936
2023-09-29,-0.006291565101953904,0.04672524296774681,-0.279874484160349
2023-10-03,-0.003156287198276933,0.049293112100209424,-0.2790731602968201
2023-10-04,-0.0026040869227232726,0.04999938952036588,-0.2802679122429146
2023-10-05,-0.0026359931285914523,0.05144254968356455,-0.2787617663654245
2023-10-06,-0.0006568273033637976,0.0507654838784136,-0.2764252891397684
2023-10-10,0.001885616916800009,0.04916313149425482,-0.2822804428369402
2023-10-11,0.0020732463526155582,0.04931449760017999,-0.2837352319407408
2023-10-12,0.003567395474706328,0.049320347598531926,-0.2760460830682672
2023-10-13,0.0003612705834401526,0.05268608990880475,-0.2820686582067578
2023-10-17,-0.00020905835734257627,0.0523950071443766,-0.28435733409407954
2023-10-18,0.0017890163644395949,0.05081646010378441,-0.2891720732809588
2023-10-19,0.0035051254024480315,0.04947948283183371,-0.2878235754537152
2023-10-20,0.004850061951860619,0.047608170506645876,-0.28616731157762204
2023-10-24,0.00305260171104748,0.047582062724556104,-0.2871771451269435
2023-10-25,0.00511553227571813,0.04788523947102788,-0.2928492709872416
2023-10-26,0.01142080078830949,0.04762893128547798,-0.30878923341831677
2023-10-27,0.010857567430374332,0.04912843832444164,-0.30881002377115374
2023-10-31,0.00980361664675296,0.04817424052607222,-0.30881000767145333
2023-11-01,,0.04771486587688848,
2023-11-02,,0.0491709771336794,
