,alpha_rolling_126d
2021-01-01,
2021-01-04,
2021-01-05,
2021-01-06,
2021-01-07,
2021-01-08,
2021-01-11,
2021-01-12,
2021-01-13,
2021-01-14,
2021-01-15,
2021-01-18,
2021-01-19,
2021-01-20,
2021-01-21,
2021-01-22,
2021-01-25,
2021-01-26,
2021-01-27,
2021-01-28,
2021-01-29,
2021-02-01,
2021-02-02,
2021-02-03,
2021-02-04,
2021-02-05,
2021-02-08,
2021-02-09,
2021-02-10,
2021-02-11,
2021-02-12,
2021-02-15,
2021-02-16,
2021-02-17,
2021-02-18,
2021-02-19,
2021-02-22,
2021-02-23,
2021-02-24,
2021-02-25,
2021-02-26,
2021-03-01,
2021-03-02,
2021-03-03,
2021-03-04,
2021-03-05,
2021-03-08,
2021-03-09,
2021-03-10,
2021-03-11,
2021-03-12,
2021-03-15,
2021-03-16,
2021-03-17,
2021-03-18,
2021-03-19,
2021-03-22,
2021-03-23,
2021-03-24,
2021-03-25,
2021-03-26,
2021-03-29,
2021-03-30,
2021-03-31,
2021-04-01,
2021-04-02,
2021-04-05,
2021-04-06,
2021-04-07,
2021-04-08,
2021-04-09,
2021-04-12,
2021-04-13,
2021-04-14,
2021-04-15,
2021-04-16,
2021-04-19,
2021-04-20,
2021-04-21,
2021-04-22,
2021-04-23,
2021-04-26,
2021-04-27,
2021-04-28,
2021-04-29,
2021-04-30,
2021-05-03,
2021-05-04,
2021-05-05,
2021-05-06,
2021-05-07,
2021-05-10,
2021-05-11,
2021-05-12,
2021-05-13,
2021-05-14,
2021-05-17,
2021-05-18,
2021-05-19,
2021-05-20,
2021-05-21,
2021-05-24,
2021-05-25,
2021-05-26,
2021-05-27,
2021-05-28,
2021-05-31,
2021-06-01,
2021-06-02,
2021-06-03,
2021-06-04,
2021-06-07,
2021-06-08,
2021-06-09,
2021-06-10,
2021-06-11,
2021-06-14,
2021-06-15,
2021-06-16,
2021-06-17,
2021-06-18,
2021-06-21,
2021-06-22,
2021-06-23,
2021-06-24,
2021-06-25,-1.755486450001025e-05
2021-06-28,-2.1243839688734817e-05
2021-06-29,-1.210750175946297e-05
2021-06-30,-5.83340176635447e-05
2021-07-01,-5.413757638680066e-05
2021-07-02,-0.00011521153024045711
2021-07-05,-0.0001329652182484294
2021-07-06,-0.00014139522580410173
2021-07-07,-0.00018975296890719944
2021-07-08,-0.00020775246952292104
2021-07-09,-0.00016586426784382098
2021-07-12,-0.00016270206654361494
2021-07-13,-0.00016469651783708654
2021-07-14,-0.0001781788395210379
2021-07-15,-0.00018781244842551833
2021-07-16,-0.00020593530429751739
2021-07-19,-0.00021047138129763523
2021-07-20,-0.00021125242505147217
2021-07-21,-0.00014353148689607407
2021-07-22,-7.763496467578664e-05
2021-07-23,-9.945723079930716e-05
2021-07-26,-0.0001044834461217774
2021-07-27,-0.00010182702746219169
2021-07-28,-0.0001265245668857621
2021-07-29,-0.00013958099202958298
2021-07-30,-0.0001347230630302954
2021-08-02,-0.00013228536110437348
2021-08-03,-0.00012591767262309914
2021-08-04,-0.00017197272953857736
2021-08-05,-0.00015618357900339675
2021-08-06,-0.00018298989324510862
2021-08-09,-0.00018800582664387904
2021-08-10,-0.00018574329257905805
2021-08-11,-0.00021224969243802415
2021-08-12,-0.00019128657135321475
2021-08-13,-0.00018117008301494038
2021-08-16,-0.0001988769019651276
2021-08-17,-0.0002198307317579844
2021-08-18,-0.00019816317096208992
