,beta_rolling_126d
2021-01-01,
2021-01-04,
2021-01-05,
2021-01-06,
2021-01-07,
2021-01-08,
2021-01-11,
2021-01-12,
2021-01-13,
2021-01-14,
2021-01-15,
2021-01-18,
2021-01-19,
2021-01-20,
2021-01-21,
2021-01-22,
2021-01-25,
2021-01-26,
2021-01-27,
2021-01-28,
2021-01-29,
2021-02-01,
2021-02-02,
2021-02-03,
2021-02-04,
2021-02-05,
2021-02-08,
2021-02-09,
2021-02-10,
2021-02-11,
2021-02-12,
2021-02-15,
2021-02-16,
2021-02-17,
2021-02-18,
2021-02-19,
2021-02-22,
2021-02-23,
2021-02-24,
2021-02-25,
2021-02-26,
2021-03-01,
2021-03-02,
2021-03-03,
2021-03-04,
2021-03-05,
2021-03-08,
2021-03-09,
2021-03-10,
2021-03-11,
2021-03-12,
2021-03-15,
2021-03-16,
2021-03-17,
2021-03-18,
2021-03-19,
2021-03-22,
2021-03-23,
2021-03-24,
2021-03-25,
2021-03-26,
2021-03-29,
2021-03-30,
2021-03-31,
2021-04-01,
2021-04-02,
2021-04-05,
2021-04-06,
2021-04-07,
2021-04-08,
2021-04-09,
2021-04-12,
2021-04-13,
2021-04-14,
2021-04-15,
2021-04-16,
2021-04-19,
2021-04-20,
2021-04-21,
2021-04-22,
2021-04-23,
2021-04-26,
2021-04-27,
2021-04-28,
2021-04-29,
2021-04-30,
2021-05-03,
2021-05-04,
2021-05-05,
2021-05-06,
2021-05-07,
2021-05-10,
2021-05-11,
2021-05-12,
2021-05-13,
2021-05-14,
2021-05-17,
2021-05-18,
2021-05-19,
2021-05-20,
2021-05-21,
2021-05-24,
2021-05-25,
2021-05-26,
2021-05-27,
2021-05-28,
2021-05-31,
2021-06-01,
2021-06-02,
2021-06-03,
2021-06-04,
2021-06-07,
2021-06-08,
2021-06-09,
2021-06-10,
2021-06-11,
2021-06-14,
2021-06-15,
2021-06-16,
2021-06-17,
2021-06-18,
2021-06-21,
2021-06-22,
2021-06-23,
2021-06-24,
2021-06-25,0.4631534679881554
2021-06-28,0.46282824868029465
2021-06-29,0.4669438351519986
2021-06-30,0.4619454859370231
2021-07-01,0.46076640312384487
2021-07-02,0.438838401384709
2021-07-05,0.43303475238065087
2021-07-06,0.4324927965258181
2021-07-07,0.42932137000282267
2021-07-08,0.4608609919541042
2021-07-09,0.47746600038943965
2021-07-12,0.4740918442171262
2021-07-13,0.47529989781063187
2021-07-14,0.47624210055742516
2021-07-15,0.4710646988400271
2021-07-16,0.4736404688598672
2021-07-19,0.46681241400609114
2021-07-20,0.4641069332201685
2021-07-21,0.4741610418300276
2021-07-22,0.4511172152597564
2021-07-23,0.45239765526349446
2021-07-26,0.4578570247193558
2021-07-27,0.4685671643066861
2021-07-28,0.4324535653856752
2021-07-29,0.43240349100171455
2021-07-30,0.42992771552835046
2021-08-02,0.4290599072646532
2021-08-03,0.4295785490416146
2021-08-04,0.4323531706596221
2021-08-05,0.4366806253033684
2021-08-06,0.42991451859399193
2021-08-09,0.43033597141119895
2021-08-10,0.4308191071913433
2021-08-11,0.43748553358903997
2021-08-12,0.43116402721001135
2021-08-13,0.42525176889861926
2021-08-16,0.4221774649100185
2021-08-17,0.4252489907169484
2021-08-18,0.42013844427199776
2021-08-19,0.4242120547903298
2021-08-20,0.4136206707067001
2021-08-23,0.4199258979493951
2021-08-24,0.4640832492831171
2021-08-25,0.4446668704144005
2021-08-26,0.4313432001765
